"ITTER107","Territory","TIPO_DATO_FOL","Data type","SEXISTAT1","Gender","ETA1","Age class","TIME","Select time","Value","Flag Codes","Flags"
"ITE1","Toscana","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",6.303218,,
"ITE1","Toscana","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",6.584131,,
"ITE1","Toscana","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",6.53869,,
"ITE1","Toscana","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",5.720602,,
"ITE1","Toscana","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",6.376182,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",3.445162,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",4.470259,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",2.530763,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",2.878005,,
"ITDA","Trentino Alto Adige / Südtirol","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",3.912166,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",4.959339,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",4.844244,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",4.885632,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",5.358706,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",4.751462,,
"ITG1","Sicilia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",17.991113,,
"ITG1","Sicilia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",17.660585,,
"ITG1","Sicilia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",16.310077,,
"ITG1","Sicilia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",20.104715,,
"ITG1","Sicilia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",17.833295,,
"ITF4","Puglia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",11.58394,,
"ITF4","Puglia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",13.440016,,
"ITF4","Puglia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",11.587509,,
"ITF4","Puglia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",11.011851,,
"ITF4","Puglia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",10.266335,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",5.721717,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",6.283373,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",6.066007,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",5.30596,,
"ITD4","Friuli-Venezia Giulia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",5.219412,,
"ITE2","Umbria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",4.361037,,
"ITE2","Umbria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q1","Q1-2023",4.367909,,
"ITE2","Umbria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q2","Q2-2023",5.190837,,
"ITE2","Umbria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q3","Q3-2023",4.524329,,
"ITE2","Umbria","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023-Q4","Q4-2023",3.367427,,
"ITC4","Lombardia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",4.770911,,
"ITC4","Lombardia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",4.94952,,
"ITC4","Lombardia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",5.065407,,
"ITC4","Lombardia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",4.354933,,
"ITC4","Lombardia","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",4.712735,,
"ITG2","Sardegna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",10.0505,,
"ITG2","Sardegna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",12.19493,,
"ITG2","Sardegna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",10.02897,,
"ITG2","Sardegna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",8.7579,,
"ITG2","Sardegna","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",9.249039,,
"ITD3","Veneto","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",4.226003,,
"ITD3","Veneto","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",4.525672,,
"ITD3","Veneto","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",4.174736,,
"ITD3","Veneto","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",4.2437,,
"ITD3","Veneto","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",3.959755,,
"ITF3","Campania","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023","2023",20.736794,,
"ITF3","Campania","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q1","Q1-2023",21.687468,,
"ITF3","Campania","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q2","Q2-2023",19.34029,,
"ITF3","Campania","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q3","Q3-2023",20.604933,,
"ITF3","Campania","UNEM_R","unemployment rate","2","females","Y15-74","15-74 years","2023-Q4","Q4-2023",21.226398,,
"ITE2","Umbria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",5.966764,,
"ITE2","Umbria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",6.245966,,
"ITE2","Umbria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",6.657571,,
"ITE2","Umbria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",6.358818,,
"ITE2","Umbria","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",4.618474,,
"ITC4","Lombardia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023","2023",4.02477,,
"ITC4","Lombardia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q1","Q1-2023",4.337569,,
"ITC4","Lombardia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q2","Q2-2023",4.500026,,
"ITC4","Lombardia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q3","Q3-2023",3.454077,,
"ITC4","Lombardia","UNEM_R","unemployment rate","9","total","Y15-74","15-74 years","2023-Q4","Q4-2023",3.809133,,
"ITD5","Emilia-Romagna","UNEM_R","unemployment rate","1","males","Y15-74","15-74 years","2023","2023",3.880034,,
